Name,Longitude,Latitude,Elevation
N 214,-80.6825,37.9177777778,
N 216,-80.6002777778,37.7705555556,
N 228,-80.5361111111,38.0830555556,
N 230,-80.5288888889,37.9225,
N 232,-80.3703611111,38.0055277778,
N 233,-80.4727777778,38.0413888889,
N 236,-80.7461111111,38.0616666667,
N 238,-80.5897222222,38.1522222222,
N 251,-80.4205555556,38.0719444444,
N 254,-80.3380555556,37.9927777778,
P 197,-80.4130555556,37.7761111111,
P 210,-80.6908333333,37.9630555556,
P 213,-80.7272222222,37.8736111111,
P 214,-80.6697222222,37.9119444444,
P 216,-80.5916666667,37.785,
P 228,-80.5122222222,38.0736111111,
P 230,-80.5316666667,37.9313888889,
P 231,-80.3713888889,37.9172222222,
P 232,-80.3705555556,38.0116666667,
P 236,-80.7480555556,38.0644444444,
P 238,-80.5975,38.1472222222,
P 251,-80.4063888889,38.0791666667,
Q 197 RESET,-80.3876666667,37.7806111111,
Q 210,-80.6891666667,37.9630555556,
Q 214,-80.6675,37.9086111111,
Q 216,-80.5861111111,37.7941666667,
Q 228,-80.5091666667,38.0713888889,
Q 230,-80.5286111111,37.9394444444,
Q 232,-80.3780555556,38.0141666667,
Q 233,-80.6008333333,38.0802777778,
Q 236,-80.7616666667,38.0733333333,
Q 238,-80.6038888889,38.1433333333,
Q 243,-80.475,38.0919444444,
Q 251,-80.4008333333,38.0813888889,
R 214,-80.6477777778,37.9152777778,
R 216,-80.5777777778,37.8063888889,
R 217,-80.5063888889,37.8713888889,
R 228,-80.49,38.065,
R 229,-80.7344444444,38.0044444444,
R 230,-80.5269444444,37.9563888889,
R 232,-80.3852777778,38.0155555556,
R 233,-80.6013888889,38.0897222222,
R 236,-80.7683333333,38.0805555556,
R 238,-80.6147222222,38.1336111111,
R 243,-80.4730555556,38.1019444444,
R 251,-80.3833333333,38.0761111111,
R 325,-80.4891666667,37.7477777778,
S 197 RESET,-80.3830555556,37.7767222222,
S 214,-80.6558333333,37.9255555556,
S 216,-80.5655555556,37.8161111111,
S 217,-80.5227777778,37.8744444444,
S 229,-80.7263888889,38.015,
S 230,-80.5186111111,37.9594444444,
S 232,-80.3947222222,38.0161111111,
S 233,-80.6036111111,38.1002777778,
S 236,-80.7744444444,38.085,
S 238,-80.6194444444,38.1269444444,
S 243,-80.4869444444,38.1155555556,
S 323,-80.2977777778,38.0622222222,
T 214,-80.6505555556,37.9327777778,
